elemento,tipo,grupo,perfil,longitud_m,P_max_N,P_combo,P_extremo,Vy_max_N,Vy_combo,Vy_extremo,Vz_max_N,Vz_combo,Vz_extremo,V_resultante_max_N,V_resultante_combo,V_resultante_extremo,T_max_Nm,T_combo,T_extremo,My_max_Nm,My_combo,My_extremo,Mz_max_Nm,Mz_combo,Mz_extremo,M_resultante_max_Nm,M_resultante_combo,M_resultante_extremo
206,COLUMNA,Columna_1,IR 610 x 113.1,3.2,892902.087355497,GRAV_DISEÑO,I,19979.448839276247,SISMO_DOWN_1,I,6994.919314714975,SISMO_DOWN_1,I,21168.544402972766,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,13285.478834808338,SISMO_DOWN_1,I,32132.08902540707,SISMO_DOWN_1,I,34770.31913869681,SISMO_DOWN_1,I
207,COLUMNA,Columna_1,IR 610 x 113.1,3.2,691178.8348503169,GRAV_DISEÑO,I,18531.182732487567,SISMO_DOWN_1,I,17593.391962824317,GRAV_DISEÑO,I,25164.227613985404,SISMO_DOWN_1,I,6.271283398234242,SISMO_DOWN_1,I,29902.814324472387,GRAV_DISEÑO,J,29714.833243528643,SISMO_DOWN_1,I,40488.08092620919,SISMO_DOWN_1,I
208,COLUMNA,Columna_1,IR 610 x 113.1,3.2,347471.8705019131,GRAV_DISEÑO,I,5224.271771896899,SISMO_DOWN_1,I,37062.10201914571,SISMO_DOWN_1,I,37428.49745346723,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,71419.25592962345,SISMO_DOWN_1,I,8427.225604043306,SISMO_DOWN_1,I,71914.72901236921,SISMO_DOWN_1,I
209,COLUMNA,Columna_1,IR 610 x 113.1,3.2,486922.8405443825,GRAV_DISEÑO,I,4419.625822364791,SISMO_DOWN_1,I,29318.07051824215,SISMO_DOWN_1,I,29649.3229488016,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,56878.41608647276,SISMO_DOWN_1,I,7082.473506536275,SISMO_DOWN_1,I,57317.673081491295,SISMO_DOWN_1,I
210,COLUMNA,Columna_1,IR 610 x 113.1,3.2,848401.7298506028,GRAV_DISEÑO,I,16133.437048330492,SISMO_DOWN_1,I,9431.682054985267,SISMO_DOWN_1,I,18688.082228489206,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,16884.071440327752,SISMO_DOWN_1,I,25978.929373548097,SISMO_DOWN_1,I,30983.489793725486,SISMO_DOWN_1,I
211,COLUMNA,Columna_1,IR 610 x 113.1,3.2,452087.12111841975,GRAV_DISEÑO,I,14885.570975608374,SISMO_DOWN_1,I,5782.1940816243505,SISMO_DOWN_1,I,15969.15751276335,SISMO_DOWN_1,I,6.2712833982342415,SISMO_DOWN_1,I,12688.58131356244,SISMO_DOWN_1,I,23837.650436393677,SISMO_DOWN_1,I,27004.32695103852,SISMO_DOWN_1,I
212,COLUMNA,Columna_1,IR 610 x 113.1,3.2,215131.2811304381,GRAV_DISEÑO,I,3310.967775614556,SISMO_DOWN_1,I,30904.736647735015,SISMO_DOWN_1,I,31081.590288738666,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,59149.70214621022,SISMO_DOWN_1,I,5404.056560992796,SISMO_DOWN_1,I,59396.05282592266,SISMO_DOWN_1,I
213,COLUMNA,Columna_1,IR 610 x 113.1,3.2,266985.7283820159,GRAV_DISEÑO,I,3882.2508264394282,SISMO_DOWN_1,I,24156.132381269737,SISMO_DOWN_1,I,24466.111319554195,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,47998.97481130194,SISMO_DOWN_1,J,6268.228206384631,SISMO_DOWN_1,I,48392.00638511298,SISMO_DOWN_1,J
214,COLUMNA,Columna_1,IR 610 x 113.1,3.2,471270.22577865835,GRAV_DISEÑO,I,8765.71426593427,SISMO_DOWN_1,I,6843.912690590155,SISMO_DOWN_1,I,11121.011083009698,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,12784.271697220938,SISMO_DOWN_1,I,14064.538002731459,SISMO_DOWN_1,I,19006.54708406137,SISMO_DOWN_1,I
215,COLUMNA,Columna_1,IR 610 x 113.1,3.2,435564.0801848098,GRAV_DISEÑO,I,8667.573640495099,SISMO_DOWN_1,I,7170.828433955994,SISMO_DOWN_1,I,11249.338346882329,SISMO_DOWN_1,I,6.2712833982342415,SISMO_DOWN_1,I,15003.723153877554,SISMO_DOWN_1,I,13881.125586991548,SISMO_DOWN_1,I,20440.09187944205,SISMO_DOWN_1,I
216,COLUMNA,Columna_1,IR 610 x 113.1,3.2,233257.48085231672,GRAV_DISEÑO,I,4145.12348305389,SISMO_DOWN_1,I,24222.944718571736,SISMO_DOWN_1,I,24575.050346413274,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,48611.42478103679,SISMO_DOWN_1,J,6765.833463441177,SISMO_DOWN_1,I,49043.88408954781,SISMO_DOWN_1,J
217,VIGA,Viga_1,IR 457 x 59.5,6.32,0.0,,,8.703211984893064e-15,SISMO_DOWN_5,I,20500.48187371825,SISMO_DOWN_1,I,20500.48187371825,SISMO_DOWN_1,I,0.43180335159431016,SISMO_DOWN_1,I,76723.99839792034,SISMO_DOWN_1,I,2.7502149872262086e-14,SISMO_DOWN_5,I,76723.99839792034,SISMO_DOWN_1,I
