elemento,tipo,grupo,perfil,combo,tipo_combo,metodo,tipo_valor,extremo,nodo,longitud_m,P_N,Vy_N,Vz_N,T_Nm,My_Nm,Mz_Nm,V_resultante_N,M_resultante_Nm
117,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,17,6.32,0.0,-4.856037153533118e-15,-2454.2564616533805,-0.09087480224196133,2314.9005972860728,-1.5345077405164655e-14,2454.2564616533805,2314.9005972860728
117,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,18,6.32,0.0,4.856037153533118e-15,-2341.38165834662,0.09087480224196133,-1958.2162188367108,-1.5345077405164655e-14,2341.38165834662,1958.2162188367108
118,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,17,6.2,0.0,-3.3638879361998136e-15,-2234.842850872778,0.25966974025960343,1414.2540484423691,-1.0428052602219422e-14,2234.842850872778,1414.2540484423691
118,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,21,6.2,0.0,3.3638879361998136e-15,-2469.738849127222,-0.25966974025960343,-2142.431643031145,-1.0428052602219422e-14,2469.738849127222,2142.431643031145
119,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,18,5.299999999999999,0.0,8.055846972878658e-15,-1901.5290580109595,0.1011804462331733,947.8244190690757,2.134799447812844e-14,1901.5290580109595,947.8244190690757
119,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,19,5.299999999999999,0.0,-8.055846972878658e-15,-2120.1294919890397,-0.1011804462331733,-1527.1155691109884,2.134799447812844e-14,2120.1294919890397,1527.1155691109884
120,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,18,6.2,0.0,-3.3638879361998136e-15,-2840.321993598519,-4.781740323569189,3854.5139099271983,-1.0428052602219422e-14,2840.321993598519,3854.5139099271983
120,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,22,6.2,0.0,3.3638879361998136e-15,-1864.2597064014808,4.781740323569189,-828.7208196163806,-1.0428052602219422e-14,1864.2597064014808,828.7208196163806
121,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,19,5.450000000000001,0.0,-3.2650749667752067e-15,-743.9632268506971,-0.6803831357698452,-897.9643625742281,-8.897329284462441e-15,743.9632268506971,897.9643625742281
121,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,20,5.450000000000001,0.0,3.2650749667752067e-15,-3391.515848149304,0.6803831357698452,-6316.616530464477,-8.897329284462441e-15,3391.515848149304,6316.616530464477
122,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,19,6.2,0.0,-3.3638879361998136e-15,-998.8898044589412,2.7498403246114482,-923.4729038830983,-1.0428052602219422e-14,998.8898044589412,923.4729038830983
122,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,23,6.2,0.0,3.3638879361998136e-15,-3705.6918955410583,-2.7498403246114482,-7467.613578471466,-1.0428052602219422e-14,3705.6918955410583,7467.613578471466
123,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,20,6.2,0.0,-3.3638879361998136e-15,1217.604309637808,0.05837682325946138,-3762.349680841023,-1.0428052602219422e-14,1217.604309637808,3762.349680841023
123,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,24,6.2,0.0,3.3638879361998136e-15,-5922.186009637808,-0.05837682325946138,-18371.000308913386,-1.0428052602219422e-14,5922.186009637808,18371.000308913386
124,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,21,6.32,0.0,-4.856037153533118e-15,4993.43222962069,0.1927884914004156,-11585.539035291928,-1.5345077405164655e-14,4993.43222962069,11585.539035291928
124,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,22,6.32,0.0,4.856037153533118e-15,-9789.07034962069,-0.1927884914004156,-35127.16911511084,-1.5345077405164655e-14,9789.07034962069,35127.16911511084
125,VIGA,Viga_1,IR 457 x 59.5,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,21,6.1000000000000005,0.0,-8.687708429690997e-16,-2223.0122972010845,0.11350185092474696,1830.946776949782,-2.6497510710557546e-15,2223.0122972010845,1830.946776949782
