elemento,grupo,perfil,combo_momento,extremo_momento,combo_cortante,extremo_cortante,eje_flexion,inciso_ntc,clasificacion_patin,clasificacion_alma,material,Fy_kg_cm2,E_kg_cm2,d_mm,h_mm,bf_mm,tf_mm,tw_mm,Ix_cm4,Iy_cm4,Sx_cm3,Zx_cm3,ry_cm,J_cm4,Cw_cm6,lambda_f,lambda_f_p,lambda_f_r,lambda_w,lambda_w_p,lambda_w_r,Lb_m,Cb,Lu_m,Lr_m,Mu_Nm,Vu_N,Mp_Nm,My_Nm,Mn_control_Nm,MR_Nm,estado_limite_control,utilizacion_flexion,Vn_N,VR_N,Cv,utilizacion_cortante,utilizacion_flexion_cortante,estado,utilizacion_control,demanda_control,Mu_modelo_Nm,Vu_modelo_N,Mu_local_Nm,Vu_local_N,local_claro_id,local_longitud_m,local_w_diseno_N_m,local_w_servicio_N_m,local_delta_mm,local_delta_adm_mm,local_deflexion_ratio,local_deflexion_estado,local_metodo,deflexion_claro_id,deflexion_ratio,deflexion_delta_mm,deflexion_adm_mm,deflexion_estado,alertas
231,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0076,GRAV_DISEÑO,VL-0076,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,3.8000000000000007,1.0,1.6108021946441065,4.534251497266598,76346.1726844219,57619.752969375004,267581.484,237582.01349999997,191743.3357053043,172569.00213477385,PLT,0.4424095390248398,501073.91451000003,450966.523059,1.0,0.12776946851515317,0.45873457610948454,Cumple,0.45873457610948454,local_gravitacional,48480.36984808179,22620.220382923562,76346.1726844219,57619.752969375004,VL-0076,5.300000000000001,21743.30300731132,16282.404318396226,6.904350698708686,22.083333333333336,0.3126498429603933,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0076,0.3126498429603933,6.904350698708686,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
331,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0102,GRAV_DISEÑO,VL-0102,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,3.8000000000000007,1.0,1.6108021946441065,4.534251497266598,76346.1726844219,57619.752969375004,267581.484,237582.01349999997,191743.3357053043,172569.00213477385,PLT,0.4424095390248398,501073.91451000003,450966.523059,1.0,0.12776946851515317,0.45873457610948454,Cumple,0.45873457610948454,local_gravitacional,47905.117748478224,22691.29099970143,76346.1726844219,57619.752969375004,VL-0102,5.300000000000001,21743.30300731132,16282.404318396226,6.904350698708686,22.083333333333336,0.3126498429603933,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0102,0.3126498429603933,6.904350698708686,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
431,Viga_2,IR 356 x 44.6,GRAV_DISEÑO,VL-0024,GRAV_DISEÑO,VL-0024,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,3.8000000000000007,1.0,1.6108021946441065,4.534251497266598,76346.1726844219,57619.752969375004,267581.484,237582.01349999997,191743.3357053043,172569.00213477385,PLT,0.4424095390248398,501073.91451000003,450966.523059,1.0,0.12776946851515317,0.45873457610948454,Cumple,0.45873457610948454,local_gravitacional,53680.86053147271,23947.287323657027,76346.1726844219,57619.752969375004,VL-0024,5.300000000000001,21743.30300731132,16282.404318396226,6.904350698708686,22.083333333333336,0.3126498429603933,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0024,0.3126498429603933,6.904350698708686,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
131,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0050,GRAV_DISEÑO,VL-0050,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,3.799999999999999,1.0,1.6108021946441065,4.534251497266598,76346.17268442186,57619.752969375004,267581.484,237582.01349999997,191743.33570530434,172569.0021347739,PLT,0.4424095390248395,501073.91451000003,450966.523059,1.0,0.12776946851515317,0.4587345761094842,Cumple,0.4587345761094842,local_gravitacional,49118.19726132025,22483.909026073834,76346.17268442186,57619.752969375004,VL-0050,5.299999999999999,21743.303007311326,16282.404318396231,6.904350698708679,22.08333333333333,0.3126498429603931,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0050,0.3126498429603931,6.904350698708679,22.08333333333333,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
238,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0070,GRAV_DISEÑO,VL-0070,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,3.8000000000000007,1.0,1.6108021946441065,4.534251497266598,71576.83935900002,54020.25612000001,267581.484,237582.01349999997,191743.3357053043,172569.00213477385,PLT,0.41477228513553993,501073.91451000003,450966.523059,1.0,0.11978773003718622,0.4291213854030017,Cumple,0.4291213854030017,local_gravitacional,41648.31883126975,20537.43749893722,71576.83935900002,54020.25612000001,VL-0070,5.300000000000001,20385.002309433963,15265.988830188677,6.473352373832588,22.083333333333336,0.2931329376829851,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0070,0.2931329376829851,6.473352373832588,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
338,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0096,GRAV_DISEÑO,VL-0096,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,3.8000000000000007,1.0,1.6108021946441065,4.534251497266598,71576.83935900002,54020.25612000001,267581.484,237582.01349999997,191743.3357053043,172569.00213477385,PLT,0.41477228513553993,501073.91451000003,450966.523059,1.0,0.11978773003718622,0.4291213854030017,Cumple,0.4291213854030017,local_gravitacional,41441.65173160816,20769.674674080543,71576.83935900002,54020.25612000001,VL-0096,5.300000000000001,20385.002309433963,15265.988830188677,6.473352373832588,22.083333333333336,0.2931329376829851,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0096,0.2931329376829851,6.473352373832588,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
438,Viga_2,IR 356 x 44.6,GRAV_DISEÑO,VL-0018,GRAV_DISEÑO,VL-0018,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,3.8000000000000007,1.0,1.6108021946441065,4.534251497266598,71576.83935900002,54020.25612000001,267581.484,237582.01349999997,191743.3357053043,172569.00213477385,PLT,0.41477228513553993,501073.91451000003,450966.523059,1.0,0.11978773003718622,0.4291213854030017,Cumple,0.4291213854030017,local_gravitacional,46126.411863798785,21178.437737737888,71576.83935900002,54020.25612000001,VL-0018,5.300000000000001,20385.002309433963,15265.988830188677,6.473352373832588,22.083333333333336,0.2931329376829851,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0018,0.2931329376829851,6.473352373832588,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
138,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0044,GRAV_DISEÑO,VL-0044,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,3.799999999999999,1.0,1.6108021946441065,4.534251497266598,71576.83935899999,54020.25612,267581.484,237582.01349999997,191743.33570530434,172569.0021347739,PLT,0.41477228513553965,501073.91451000003,450966.523059,1.0,0.1197877300371862,0.42912138540300143,Cumple,0.42912138540300143,local_gravitacional,41818.242743513714,19547.488084485864,71576.83935899999,54020.25612,VL-0044,5.299999999999999,20385.002309433967,15265.988830188682,6.473352373832581,22.08333333333333,0.2931329376829849,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0044,0.2931329376829849,6.473352373832581,22.08333333333333,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
221,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0067,GRAV_DISEÑO,VL-0067,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,5.300000000000001,1.0,1.6108021946441065,4.534251497266598,43404.72883157813,32758.285910625003,267581.484,237582.01349999997,129133.25437997286,116219.92894197558,PLT,0.3734706192536785,501073.91451000003,450966.523059,1.0,0.07264017224253967,0.37874721387710436,Cumple,0.37874721387710436,local_gravitacional,13538.592919977153,5964.130236961342,43404.72883157813,32758.285910625003,VL-0067,5.300000000000001,12361.61732476415,9262.095304245282,3.927476122990117,22.083333333333336,0.17784797538068453,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0067,0.17784797538068453,3.927476122990117,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
246,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0073,GRAV_DISEÑO,VL-0073,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,5.300000000000001,1.0,1.6108021946441065,4.534251497266598,43404.72883157813,32758.285910625003,267581.484,237582.01349999997,129133.25437997286,116219.92894197558,PLT,0.3734706192536785,501073.91451000003,450966.523059,1.0,0.07264017224253967,0.37874721387710436,Cumple,0.37874721387710436,local_gravitacional,12814.413622966065,5682.830242159108,43404.72883157813,32758.285910625003,VL-0073,5.300000000000001,12361.61732476415,9262.095304245282,3.927476122990117,22.083333333333336,0.17784797538068453,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0073,0.17784797538068453,3.927476122990117,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
321,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0093,GRAV_DISEÑO,VL-0093,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,5.300000000000001,1.0,1.6108021946441065,4.534251497266598,43404.72883157813,32758.285910625003,267581.484,237582.01349999997,129133.25437997286,116219.92894197558,PLT,0.3734706192536785,501073.91451000003,450966.523059,1.0,0.07264017224253967,0.37874721387710436,Cumple,0.37874721387710436,local_gravitacional,15841.034529854604,7136.389181078553,43404.72883157813,32758.285910625003,VL-0093,5.300000000000001,12361.61732476415,9262.095304245282,3.927476122990117,22.083333333333336,0.17784797538068453,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0093,0.17784797538068453,3.927476122990117,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
346,Viga_1,IR 356 x 44.6,GRAV_DISEÑO,VL-0099,GRAV_DISEÑO,VL-0099,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,5.300000000000001,1.0,1.6108021946441065,4.534251497266598,43404.72883157813,32758.285910625003,267581.484,237582.01349999997,129133.25437997286,116219.92894197558,PLT,0.3734706192536785,501073.91451000003,450966.523059,1.0,0.07264017224253967,0.37874721387710436,Cumple,0.37874721387710436,local_gravitacional,14817.148322552352,6741.320120058247,43404.72883157813,32758.285910625003,VL-0099,5.300000000000001,12361.61732476415,9262.095304245282,3.927476122990117,22.083333333333336,0.17784797538068453,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0099,0.17784797538068453,3.927476122990117,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
421,Viga_2,IR 356 x 44.6,GRAV_DISEÑO,VL-0015,GRAV_DISEÑO,VL-0015,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,351.0,311.0,171.0,9.8,6.9,12113.0,816.0,688.9999999999999,776.0,3.8,16.0,238191.0,8.724489795918366,9.152285196841515,24.084961044319776,45.07246376811594,59.008154558583456,134.87578184819074,5.300000000000001,1.0,1.6108021946441065,4.534251497266598,43404.72883157813,32758.285910625003,267581.484,237582.01349999997,129133.25437997286,116219.92894197558,PLT,0.3734706192536785,501073.91451000003,450966.523059,1.0,0.07264017224253967,0.37874721387710436,Cumple,0.37874721387710436,local_gravitacional,11111.666790292931,5091.202943964777,43404.72883157813,32758.285910625003,VL-0015,5.300000000000001,12361.61732476415,9262.095304245282,3.927476122990117,22.083333333333336,0.17784797538068453,Cumple,carga_nodal * factor_direccion / 2 en extremos; carga_nodal * factor_direccion en nodos intermedios,VL-0015,0.17784797538068453,3.927476122990117,22.083333333333336,Cumple,Demanda controlada por revision gravitacional local de claro fisico.
