combo,criterio,nodo,x_m,y_m,z_m,Rx_N,Ry_N,Rz_N,Mx_Nm,My_Nm,Mz_Nm,Fx_cimentacion_N,Fy_cimentacion_N,Fz_cimentacion_N,Mx_cimentacion_Nm,My_cimentacion_Nm,Mz_cimentacion_Nm,P_compresion_N,levantamiento_N,V_horizontal_N,M_resultante_Nm
GRAV_SERVICIO,gravedad_signada,7,11.620000000000001,6.2,0.0,-3667.8234754693262,5590.598027534748,584225.6661112466,-5876.252397261657,-3985.299257115461,-2.2868022334654747,3667.8234754693262,-5590.598027534748,-584225.6661112466,5876.252397261657,3985.299257115461,2.2868022334654747,584225.6661112466,0.0,6686.382830251294,7100.20791280709
GRAV_SERVICIO,gravedad_signada,11,11.620000000000001,12.3,0.0,-3247.0016363362442,544.0468176950704,399648.66199130035,-494.3070748894789,-3521.341841161067,-2.286802233461546,3247.0016363362442,-544.0468176950704,-399648.66199130035,494.3070748894789,3521.341841161067,2.286802233461546,399648.66199130035,0.0,3292.264656162135,3555.866680093252
GRAV_SERVICIO,gravedad_signada,15,11.620000000000001,18.5,0.0,36928.18411696824,-45.21786632646958,339887.4998136749,68.07111726710285,-288.1844877193231,-0.4821543725784429,-36928.18411696824,45.21786632646958,-339887.4998136749,-68.07111726710285,288.1844877193231,0.4821543725784429,339887.4998136749,0.0,36928.21180117093,296.1148020076679
GRAV_SERVICIO,gravedad_signada,4,17.07,0.0,0.0,-36948.911397473974,30872.766276367318,255650.48808068136,-117.44996204450375,-40.90020434207872,-0.48215437257848315,36948.911397473974,-30872.766276367318,-255650.48808068136,117.44996204450375,40.90020434207872,0.48215437257848315,255650.48808068136,0.0,48149.24455288562,124.36768189316373
GRAV_SERVICIO,gravedad_signada,8,17.07,6.2,0.0,94.98312191310976,-31730.744451260587,291494.36161225574,-1422.1309679604535,84.91774948466225,-0.48215437257848315,-94.98312191310976,31730.744451260587,-291494.36161225574,1422.1309679604535,-84.91774948466225,0.48215437257848315,291494.36161225574,0.0,31730.88661264688,1424.6640004610479
GRAV_SERVICIO,gravedad_signada,12,17.07,12.3,0.0,46.59647809059537,25145.570389013777,185477.86874401534,49.704437677226366,36.96557157801219,-0.48215437257848315,-46.59647809059537,-25145.570389013777,-185477.86874401534,-49.704437677226366,-36.96557157801219,0.48215437257848315,185477.86874401534,0.0,25145.61356222228,61.943398412570346
GRAV_SERVICIO,gravedad_signada,16,17.07,18.5,0.0,-38200.5669351993,-27447.412446261853,260056.89338983037,-49.71491147391393,-38.001191000007026,-0.48215437257848315,38200.5669351993,27447.412446261853,-260056.89338983037,49.71491147391393,38.001191000007026,0.48215437257848315,260056.89338983037,0.0,47038.747476584154,62.57525821183732
SISMO_DOWN_1,envolvente_abs_grav_cqc,1,0.0,0.0,0.0,127691.86219262618,56848.096979444155,533411.7434286493,110.82041347684758,3501.653875705549,2.069213316991336,-127691.86219262618,-56848.096979444155,-533411.7434286493,-110.82041347684758,-3501.653875705549,-2.069213316991336,533411.7434286493,0.0,139774.52486202528,3503.4070601754047
SISMO_DOWN_1,envolvente_abs_grav_cqc,5,0.0,6.2,0.0,2332.30386044437,59621.25014098103,466342.43984232534,347.744218593239,3977.4032472661493,2.069213316991336,-2332.30386044437,-59621.25014098103,-466342.43984232534,-347.744218593239,-3977.4032472661493,-2.069213316991336,466342.43984232534,0.0,59666.851011854764,3992.575939531812
SISMO_DOWN_1,envolvente_abs_grav_cqc,9,0.0,12.3,0.0,2254.243126923763,56859.54940222093,450815.864767553,329.69310724840665,3882.8453191426975,2.069213316991336,-2254.243126923763,-56859.54940222093,-450815.864767553,-329.69310724840665,-3882.8453191426975,-2.069213316991336,450815.864767553,0.0,56904.21750888844,3896.817331792121
