claro_id,nivel_m,direccion,grupo,perfil,elementos,nodos,nodo_i,nodo_j,nodo_critico,longitud_m,delta_max_m,delta_adm_m,ratio,uz_critico_m,uz_cuerda_m,nodos_intermedios,estado,metodo
DV-0051,3.2,X,Viga_1,IR 203 x 31.3,133,"23, 24",23,24,24,5.450000000000001,0.0,0.022708333333333337,0.0,-0.0006354885573624996,-0.0006354885573624996,0,Cumple,delta_nodal_local_vs_cuerda
DV-0053,6.4,Y,Viga_1,IR 203 x 31.3,225,"40, 44",40,44,44,6.2,0.0,0.025833333333333333,0.0,-0.0011601377523746586,-0.0011601377523746586,0,Cumple,delta_nodal_local_vs_cuerda
DV-0054,6.4,Y,Viga_1,IR 203 x 31.3,252,"44, 57",44,57,57,1.5,0.0,0.00625,0.0,-0.005634358186729222,-0.005634358186729222,0,Cumple,delta_nodal_local_vs_cuerda
DV-0055,6.4,Y,Viga_1,IR 203 x 31.3,241,"48, 52",48,52,52,6.199999999999999,0.0,0.02583333333333333,0.0,-0.0012525630951939603,-0.0012525630951939603,0,Cumple,delta_nodal_local_vs_cuerda
DV-0057,6.4,Y,Viga_1,IR 203 x 31.3,253,"45, 58",45,58,58,1.5,0.0,0.00625,0.0,-0.003837296611946776,-0.003837296611946776,0,Cumple,delta_nodal_local_vs_cuerda
DV-0059,6.4,Y,Viga_1,IR 203 x 31.3,222,"39, 43",39,43,43,6.2,0.0,0.025833333333333333,0.0,-0.0016024728009819528,-0.0016024728009819528,0,Cumple,delta_nodal_local_vs_cuerda
DV-0060,6.4,Y,Viga_1,IR 203 x 31.3,232,"43, 47",43,47,47,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.0015270974433345163,-0.0015270974433345163,0,Cumple,delta_nodal_local_vs_cuerda
DV-0061,6.4,Y,Viga_1,IR 203 x 31.3,239,"47, 51",47,51,51,6.199999999999999,0.0,0.02583333333333333,0.0,-0.0014380409222839736,-0.0014380409222839736,0,Cumple,delta_nodal_local_vs_cuerda
DV-0064,6.4,Y,Viga_1,IR 203 x 31.3,229,"42, 46",42,46,46,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.0014743860980143554,-0.0014743860980143554,0,Cumple,delta_nodal_local_vs_cuerda
DV-0067,6.4,X,Viga_1,IR 203 x 31.3,221,"39, 40",39,40,40,5.300000000000001,0.0,0.022083333333333337,0.0,-0.0012021327885726033,-0.0012021327885726033,0,Cumple,delta_nodal_local_vs_cuerda
DV-0069,6.4,X,Viga_1,IR 203 x 31.3,234,"46, 47",46,47,47,6.32,0.0,0.026333333333333334,0.0,-0.0015270974433345163,-0.0015270974433345163,0,Cumple,delta_nodal_local_vs_cuerda
DV-0071,6.4,X,Viga_1,IR 203 x 31.3,240,"48, 49",48,49,49,5.449999999999999,0.0,0.02270833333333333,0.0,-0.0006816982124032422,-0.0006816982124032422,0,Cumple,delta_nodal_local_vs_cuerda
DV-0073,6.4,X,Viga_1,IR 203 x 31.3,246,"51, 52",51,52,52,5.300000000000001,0.0,0.022083333333333337,0.0,-0.0012525630951939603,-0.0012525630951939603,0,Cumple,delta_nodal_local_vs_cuerda
DV-0075,6.4,X,Viga_1,IR 203 x 31.3,228,"42, 43",42,43,43,6.32,0.0,0.026333333333333334,0.0,-0.0016024728009819528,-0.0016024728009819528,0,Cumple,delta_nodal_local_vs_cuerda
DV-0077,6.4,X,Viga_1,IR 203 x 31.3,233,"44, 45",44,45,45,5.449999999999999,0.0,0.02270833333333333,0.0,-0.001099049833724308,-0.001099049833724308,0,Cumple,delta_nodal_local_vs_cuerda
DV-0079,9.6,Y,Viga_1,IR 203 x 31.3,325,"61, 65",61,65,65,6.2,0.0,0.025833333333333333,0.0,-0.001491196874665181,-0.001491196874665181,0,Cumple,delta_nodal_local_vs_cuerda
DV-0080,9.6,Y,Viga_1,IR 203 x 31.3,352,"65, 78",65,78,78,1.5,0.0,0.00625,0.0,-0.0058388083280555515,-0.0058388083280555515,0,Cumple,delta_nodal_local_vs_cuerda
DV-0081,9.6,Y,Viga_1,IR 203 x 31.3,341,"69, 73",69,73,73,6.199999999999999,0.0,0.02583333333333333,0.0,-0.001640995214670236,-0.001640995214670236,0,Cumple,delta_nodal_local_vs_cuerda
