elemento,tipo,grupo,perfil,combo,tipo_combo,metodo,tipo_valor,extremo,nodo,longitud_m,P_N,Vy_N,Vz_N,T_Nm,My_Nm,Mz_Nm,V_resultante_N,M_resultante_Nm
204,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,41,3.2,171295.8905888677,281.0287105505329,782.9961441624076,5.41391349759068,1272.3649296322599,604.7263251924554,831.9014953267563,1408.760605120287
205,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,21,3.2,267970.1632821402,259.5741129606066,1176.3335618270635,5.41391349759068,1976.1495616375728,515.638432586804,1204.6324621227968,2042.3148834400995
205,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,42,3.2,266299.1985141402,259.5741129606066,1176.3335618270635,5.41391349759068,1788.9231430487862,314.9995853081776,1204.6324621227968,1816.444535481299
206,COLUMNA,Columna_2,ORC 254 x 15.9,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,22,3.2,611448.1698738299,16004.289858970938,713.3956721309602,25.677563415730575,1206.0407823353435,26514.34698116591,16020.181873966825,26541.762002668886
206,COLUMNA,Columna_2,ORC 254 x 15.9,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,43,3.2,607535.43960183,16004.289858970938,713.3956721309602,25.677563415730575,1076.8725082396236,24719.449820216676,16020.181873966825,24742.895016816696
207,COLUMNA,Columna_2,ORC 254 x 15.9,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,23,3.2,459289.7627668611,9065.152525565125,10408.5121831155,25.677563415730674,16955.375975014224,15009.43359598492,13802.685107536994,22644.378360343
207,COLUMNA,Columna_2,ORC 254 x 15.9,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,44,3.2,455377.0324948611,9065.152525565123,10408.5121831155,25.677563415730674,16352.057045841848,14017.489122689247,13802.685107536994,21537.868300627557
208,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,24,3.2,200329.36125998112,2967.7550333712243,866.7353977178336,5.41391349759068,1442.6614758285195,4584.58292771832,3091.730937154352,4806.211892433167
208,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,45,3.2,198658.3964919811,2967.7550333712243,866.7353977178336,5.41391349759068,1331.4732795922928,4912.239320388143,3091.730937154352,5089.490763822607
209,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,25,3.2,256672.65283987485,458.86893294265565,1019.4389117304592,5.41391349759068,1714.2596496303938,839.4889919610415,1117.9518739060793,1908.7765489901342
209,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,46,3.2,255001.68807187484,458.86893294265565,1019.4389117304592,5.41391349759068,1548.7371447644089,628.8926346022761,1117.9518739060793,1671.5539744291852
210,COLUMNA,Columna_2,ORC 254 x 15.9,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,26,3.2,582720.8397194551,13442.091236531312,476.4202223623253,25.677563415730575,791.0408045618797,22372.38266120342,13450.531329263826,22386.363069819923
210,COLUMNA,Columna_2,ORC 254 x 15.9,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,47,3.2,578808.1094474552,13442.091236531312,476.4202223623253,25.677563415730575,733.5522580604953,20662.23295676687,13450.531329263826,20675.250172005384
211,COLUMNA,Columna_2,ORC 254 x 15.9,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,27,3.2,314510.11953666934,8217.425114670637,777.6342947019464,25.677563415730532,1065.0486599322526,13523.281807896572,8254.13778728683,13565.156818253516
211,COLUMNA,Columna_2,ORC 254 x 15.9,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,48,3.2,310597.3892646693,8217.425114670636,777.6342947019464,25.677563415730532,1423.5641168804768,12790.691450130042,8254.137787286829,12869.666762092149
212,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,28,3.2,125060.91341212725,141.8410419729325,804.2373948279348,5.41391349759068,1344.949683423422,137.7964293208026,816.6496607650007,1351.9902022109204
212,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,49,3.2,123389.94864412725,141.8410419729325,804.2373948279348,5.41391349759068,1229.182308617534,427.50215257929864,816.6496607650007,1301.4020279215276
213,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,29,3.2,220794.1184839476,504.40445133589225,770.7035408871419,5.41391349759068,1168.8791241400681,618.5957897720095,921.0905484605956,1322.474634151487
213,COLUMNA,Columna_1,ORC 178 x 9.5,SISMO_DOWN_8,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,50,3.2,219123.15371594758,504.40445133589225,770.7035408871419,5.41391349759068,1302.6838803355827,995.5087547490473,921.0905484605956,1639.51912854598
