combo,criterio,nodo,x_m,y_m,z_m,Rx_N,Ry_N,Rz_N,Mx_Nm,My_Nm,Mz_Nm,Fx_cimentacion_N,Fy_cimentacion_N,Fz_cimentacion_N,Mx_cimentacion_Nm,My_cimentacion_Nm,Mz_cimentacion_Nm,P_compresion_N,levantamiento_N,V_horizontal_N,M_resultante_Nm
GRAV_DISEÑO,gravedad_signada,8,17.07,6.2,0.0,756.0689665176645,1682.7726606887304,470307.2081898308,-1458.843891868923,-981.1547840701696,-0.2531373589313905,-756.0689665176645,-1682.7726606887304,-470307.2081898308,1458.843891868923,981.1547840701696,0.2531373589313905,470307.2081898308,0.0,1844.820888241598,1758.0927766039672
GRAV_DISEÑO,gravedad_signada,12,17.07,12.3,0.0,1176.3186310714855,-101.276377419571,292452.4622028233,430.8291304143771,1433.995645708196,-0.2531373589313905,-1176.3186310714855,101.276377419571,-292452.4622028233,-430.8291304143771,-1433.995645708196,0.2531373589313905,292452.4622028233,0.0,1180.6703292744867,1497.3166837792446
GRAV_DISEÑO,gravedad_signada,16,17.07,18.5,0.0,-204.01354236448287,-622.5220994884746,316974.810873461,988.6600913694365,1958.148594774772,-0.2531373589313905,204.01354236448287,622.5220994884746,-316974.810873461,-988.6600913694365,-1958.148594774772,0.2531373589313905,316974.810873461,0.0,655.099450327691,2193.5803371394986
GRAV_SERVICIO,gravedad_signada,1,0.0,0.0,0.0,36.03954365047728,190.2397048487743,264671.0312716687,-135.63969138714384,-2733.2230294969268,-0.18582621725933046,-36.03954365047728,-190.2397048487743,-264671.0312716687,135.63969138714384,2733.2230294969268,0.18582621725933046,264671.0312716687,0.0,193.62333022516532,2736.586606495756
GRAV_SERVICIO,gravedad_signada,5,0.0,6.2,0.0,-1856.356188830493,-49.97144587195092,486284.6952507627,124.06459397987419,-3289.7395593996607,-0.18582621725933046,1856.356188830493,49.97144587195092,-486284.6952507627,-124.06459397987419,3289.7395593996607,0.18582621725933046,486284.6952507627,0.0,1857.028660309745,3292.0781266790227
GRAV_SERVICIO,gravedad_signada,9,0.0,12.3,0.0,-1158.5836888546032,-133.6484468195901,490493.18295815814,213.38612966180784,-1101.101691194868,-0.18582621725933046,1158.5836888546032,133.6484468195901,-490493.18295815814,-213.38612966180784,1101.101691194868,0.18582621725933046,490493.18295815814,0.0,1166.2667239603593,1121.5875243083992
GRAV_SERVICIO,gravedad_signada,13,0.0,18.5,0.0,978.7206836787013,-339.4384950967082,269020.9251515434,429.41867645957683,2643.320466431059,-0.18582621725933046,-978.7206836787013,339.4384950967082,-269020.9251515434,-429.41867645957683,-2643.320466431059,0.18582621725933046,269020.9251515434,0.0,1035.9115158226703,2677.9737653579814
GRAV_SERVICIO,gravedad_signada,2,6.32,0.0,0.0,-131.1001166235555,135.3988291199887,470177.5353520773,2967.3679983548604,-261.0449980160665,-0.18582621725933046,131.1001166235555,-135.3988291199887,-470177.5353520773,-2967.3679983548604,261.0449980160665,0.18582621725933046,470177.5353520773,0.0,188.46772536902373,2978.8281804511216
GRAV_SERVICIO,gravedad_signada,6,6.32,6.2,0.0,3324.6947289921995,-684.9083029025098,897480.7229015747,3855.2827792459775,3483.7575546132075,-0.18582621725933046,-3324.6947289921995,684.9083029025098,-897480.7229015747,-3855.2827792459775,-3483.7575546132075,0.18582621725933046,897480.7229015747,0.0,3394.5094526858093,5196.130484050144
GRAV_SERVICIO,gravedad_signada,10,6.32,12.3,0.0,2784.5138742622994,-1726.886834977064,853169.1704017816,4965.386683835046,2976.527820239199,-0.18582621725933046,-2784.5138742622994,1726.886834977064,-853169.1704017816,-4965.386683835046,-2976.527820239199,0.18582621725933046,853169.1704017816,0.0,3276.531040105731,5789.1953486356215
GRAV_SERVICIO,gravedad_signada,14,6.32,18.5,0.0,150.99801999385042,-1665.4669719381302,474837.59009999403,4888.432427088483,231.07378095393798,-0.18582621725933046,-150.99801999385042,1665.4669719381302,-474837.59009999403,-4888.432427088483,-231.07378095393798,0.18582621725933046,474837.59009999403,0.0,1672.2980107202268,4893.89075138121
GRAV_SERVICIO,gravedad_signada,3,11.620000000000001,0.0,0.0,-297.21389687125316,-663.1680801494242,427043.5024555324,5072.065997491333,-437.06900716154405,-0.185826217256516,297.21389687125316,663.1680801494242,-427043.5024555324,-5072.065997491333,437.06900716154405,0.185826217256516,427043.5024555324,0.0,726.7241588267649,5090.862677378848
GRAV_SERVICIO,gravedad_signada,7,11.620000000000001,6.2,0.0,-2118.716975001919,7084.032819586942,694456.9229935611,-3180.2687475118055,-2319.96505706678,-0.18582621726109805,2118.716975001919,-7084.032819586942,-694456.9229935611,3180.2687475118055,2319.96505706678,0.18582621726109805,694456.9229935611,0.0,7394.0842982174745,3936.5400001030316
