elemento,grupo,perfil,combo_momento,extremo_momento,combo_cortante,extremo_cortante,eje_flexion,inciso_ntc,clasificacion_patin,clasificacion_alma,material,Fy_kg_cm2,E_kg_cm2,d_mm,h_mm,bf_mm,tf_mm,tw_mm,Ix_cm4,Iy_cm4,Sx_cm3,Zx_cm3,ry_cm,J_cm4,Cw_cm6,lambda_f,lambda_f_p,lambda_f_r,lambda_w,lambda_w_p,lambda_w_r,Lb_m,Cb,Lu_m,Lr_m,Mu_Nm,Vu_N,Mp_Nm,My_Nm,Mn_control_Nm,MR_Nm,estado_limite_control,utilizacion_flexion,Vn_N,VR_N,Cv,utilizacion_cortante,utilizacion_flexion_cortante,estado,deflexion_claro_id,deflexion_ratio,deflexion_delta_mm,deflexion_adm_mm,deflexion_estado,alertas
225,Viga_1,IR 203 x 31.3,SISMO_DOWN_1,J,GRAV_DISEÑO,J,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.2,1.0,1.3564650060160899,4.511808457847832,3073.0047381513727,1671.4652189200067,115515.2025,103101.6285,48625.546897461776,43762.9922077156,PLT,0.07021925565705694,279388.17216,251449.35494400002,1.0,0.006647323550669902,0.07026344256744424,Cumple,DV-0053,0.0,0.0,25.833333333333332,Cumple,
125,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,J,GRAV_DISEÑO,J,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.2,1.0,1.3564650060160899,4.511808457847832,3064.0186232500655,1696.6817740843414,115515.2025,103101.6285,48625.546897461776,43762.9922077156,PLT,0.07001391972256106,279388.17216,251449.35494400002,1.0,0.0067476083780855485,0.07005944994138508,Cumple,DV-0027,0.0,0.0,25.833333333333332,Cumple,
325,Viga_1,IR 203 x 31.3,SISMO_DOWN_1,J,GRAV_DISEÑO,J,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.2,1.0,1.3564650060160899,4.511808457847832,2917.3206971222107,1617.8047516612655,115515.2025,103101.6285,48625.546897461776,43762.9922077156,PLT,0.0666618197237408,279388.17216,251449.35494400002,1.0,0.006433918878103962,0.06670321503587082,Cumple,DV-0079,0.0,0.0,25.833333333333332,Cumple,
127,Viga_1,IR 203 x 31.3,GRAV_DISEÑO,J,GRAV_DISEÑO,J,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,3.1,1.0,1.3564650060160899,4.511808457847832,4814.092028362557,2385.2498708947282,115515.2025,103101.6285,91564.7543186835,82408.27888681515,PLT,0.05841757761953192,279388.17216,251449.35494400002,1.0,0.009486005129843917,0.05850756191285534,Cumple,DV-0031,0.0026041979416633007,0.0672751134929686,25.833333333333332,Cumple,
341,Viga_1,IR 203 x 31.3,SISMO_DOWN_1,I,SISMO_DOWN_1,I,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.199999999999999,1.0,1.3564650060160899,4.511808457847832,2192.904266903101,1407.6625056909998,115515.2025,103101.6285,48625.54689746178,43762.99220771561,PLT,0.050108645599340036,279388.17216,251449.35494400002,1.0,0.005598194936727909,0.050139985385889645,Cumple,DV-0081,0.0,0.0,25.83333333333333,Cumple,
339,Viga_1,IR 203 x 31.3,SISMO_DOWN_1,J,SISMO_DOWN_1,J,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.199999999999999,1.0,1.3564650060160899,4.511808457847832,2104.2186290573795,1389.8697784619737,115515.2025,103101.6285,48625.54689746178,43762.99220771561,PLT,0.048082147104338,279388.17216,251449.35494400002,1.0,0.0055274342571748096,0.04811269963380539,Cumple,DV-0087,0.0,0.0,25.83333333333333,Cumple,
422,Viga_2,IR 203 x 31.3,SISMO_DOWN_1,J,SISMO_DOWN_1,J,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.2,1.0,1.3564650060160899,4.511808457847832,2093.1764425365,1381.7730781896985,115515.2025,103101.6285,48625.546897461776,43762.9922077156,PLT,0.04782982919909814,279388.17216,251449.35494400002,1.0,0.005495234133718226,0.04786002679728252,Cumple,DV-0007,0.0,0.0,25.833333333333332,Cumple,
441,Viga_2,IR 203 x 31.3,SISMO_DOWN_1,I,SISMO_DOWN_1,I,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.199999999999999,1.0,1.3564650060160899,4.511808457847832,2093.109445015713,1386.110524242517,115515.2025,103101.6285,48625.54689746178,43762.99220771561,PLT,0.04782829828182289,279388.17216,251449.35494400002,1.0,0.005512483913713821,0.047858685760721845,Cumple,DV-0003,0.0,0.0,25.83333333333333,Cumple,
124,Viga_1,IR 203 x 31.3,SISMO_DOWN_1,J,SISMO_DOWN_1,I,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,2.7249999999999996,1.0,1.3564650060160899,4.511808457847832,4073.787548714381,1953.0313975336724,115515.2025,103101.6285,96716.02349250804,87044.42114325725,PLT,0.04680124808929182,279388.17216,251449.35494400002,1.0,0.00776709647144901,0.04686157587688861,Cumple,DV-0042,0.003230356665171084,0.07335601593826005,22.708333333333336,Cumple,
322,Viga_1,IR 203 x 31.3,SISMO_DOWN_1,J,SISMO_DOWN_1,J,x-x IMCA / eje fuerte,7.3,compacta,compacta,A992,3515.0,2039696.5324550178,211.0,175.0,134.0,10.2,6.4,3135.0000000000005,407.0,299.0,335.0,3.2,12.000000000000002,40817.0,6.568627450980393,9.152285196841515,24.084961044319776,27.343749999999996,59.008154558583456,134.87578184819074,6.2,1.0,1.3564650060160899,4.511808457847832,2044.6922056413575,1360.5215079359314,115515.2025,103101.6285,48625.546897461776,43762.9922077156,PLT,0.04672194707200276,279388.17216,251449.35494400002,1.0,0.005410717829198375,0.04675122293942996,Cumple,DV-0085,0.0,0.0,25.833333333333332,Cumple,
