elemento,tipo,grupo,perfil,combo,tipo_combo,metodo,tipo_valor,extremo,nodo,longitud_m,P_N,Vy_N,Vz_N,T_Nm,My_Nm,Mz_Nm,V_resultante_N,M_resultante_Nm
230,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,43,1.5,0.0,5.573770772528839e-14,44217.93613472493,29.79807779296262,44396.49638922023,4.180328079396629e-14,44217.93613472493,44396.49638922023
230,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,54,1.5,0.0,5.573770772528839e-14,43803.414584724924,29.79807779296262,26022.383096073023,4.180328079396629e-14,43803.414584724924,26022.383096073023
231,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,54,3.8000000000000007,0.0,6.067974270784534e-15,12163.23446634299,11.360927879785876,25996.67751794877,1.1529151114490618e-14,12163.23446634299,25996.67751794877
231,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,44,3.8000000000000007,0.0,6.067974270784534e-15,13213.35572634299,11.360927879785876,22218.843863952236,1.1529151114490618e-14,13213.35572634299,22218.843863952236
232,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,43,6.1000000000000005,0.0,2.850974945027152e-15,780.0456280488374,0.08419587898265261,677.1306099934419,8.695473582332816e-15,780.0456280488374,677.1306099934419
232,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,47,6.1000000000000005,0.0,2.850974945027152e-15,912.0695648600831,0.08419587898265261,1062.5340478441149,8.695473582332816e-15,912.0695648600831,1062.5340478441149
233,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,44,5.449999999999999,0.0,4.33770712363707e-16,2514.629930432421,0.31564078124537737,5687.315146674221,1.1820251911911016e-15,2514.629930432421,5687.315146674221
233,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,45,5.449999999999999,0.0,4.33770712363707e-16,2309.076127553074,0.31564078124537737,4956.4200419164135,1.1820251911911016e-15,2309.076127553074,4956.4200419164135
234,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,46,6.32,0.0,6.234496443650832e-16,1901.8156208037058,0.03771924502649944,4319.910920791339,1.970100876193663e-15,1901.8156208037058,4319.910920791339
234,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,47,6.32,0.0,6.234496443650832e-16,2359.121816260126,0.03771924502649944,5887.0588234934785,1.970100876193663e-15,2359.121816260126,5887.0588234934785
235,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,46,3.0999999999999996,0.0,1.3505398189035875e-13,892.4684197221935,0.13903588586197896,941.4213162614325,2.09333671930056e-13,892.4684197221935,941.4213162614325
235,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,113,3.0999999999999996,0.0,1.3505398189035875e-13,221.15085776695182,0.13903588586197896,502.25435872027896,2.09333671930056e-13,221.15085776695182,502.25435872027896
236,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,113,3.0999999999999996,0.0,2.6199575163179566e-14,221.1508577669529,0.13903588586161036,502.25435872027873,4.060934150292832e-14,221.1508577669529,502.25435872027873
236,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,50,3.0999999999999996,0.0,2.6199575163179566e-14,1077.8287277669529,0.13903588586161036,1511.2548007806947,4.060934150292832e-14,1077.8287277669529,1511.2548007806947
237,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,47,1.5,0.0,5.573770772528839e-14,37476.00782794414,23.320370433342408,37911.615292277296,4.180328079396629e-14,37476.00782794414,37911.615292277296
237,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,J,56,1.5,0.0,5.573770772528839e-14,37061.48627794413,23.320370433342408,22394.276409512222,4.180328079396629e-14,37061.48627794413,22394.276409512222
238,VIGA,Viga_1,IR 203 x 31.3,SISMO_UP_1,SISMO,GRAVEDAD_ABS_PLUS_CQC,ENVOLVENTE_POSITIVA,I,56,3.8000000000000007,0.0,6.067974270784534e-15,10603.707428401056,9.265305869441724,22386.67026728986,1.1529151114490618e-14,10603.707428401056,22386.67026728986
