claro_id,nivel_m,direccion,grupo,perfil,elementos,nodos,nodo_i,nodo_j,nodo_critico,longitud_m,delta_max_m,delta_adm_m,ratio,uz_critico_m,uz_cuerda_m,nodos_intermedios,estado,metodo
DV-0070,6.4,X,Viga_1,IR 356 x 44.6,"237, 238","47, 56, 48",47,48,56,5.300000000000001,0.0014299504142498034,0.022083333333333337,0.06475247158867034,-0.0027613090468936487,-0.0013313586326438452,1,Cumple,delta_nodal_local_vs_cuerda
DV-0096,9.6,X,Viga_1,IR 356 x 44.6,"337, 338","68, 77, 69",68,69,77,5.300000000000001,0.0013896250579716087,0.022083333333333337,0.06292641771946907,-0.003100513476240002,-0.0017108884182683933,1,Cumple,delta_nodal_local_vs_cuerda
DV-0104,9.6,X,Viga_1,IR 356 x 44.6,"351, 354","76, 78, 79",76,79,78,9.25,0.0014207391731876945,0.03854166666666667,0.03686242179081586,-0.0030666666726813278,-0.004487405845869022,1,Cumple,delta_nodal_local_vs_cuerda
DV-0078,6.4,X,Viga_1,IR 356 x 44.6,"251, 254","55, 57, 58",55,58,57,9.25,0.001368583287520187,0.03854166666666667,0.035509188000523766,-0.0028248072997526137,-0.004193390587272801,1,Cumple,delta_nodal_local_vs_cuerda
DV-0026,12.8,X,Viga_2,IR 356 x 44.6,"451, 454","97, 99, 100",97,100,99,9.25,0.0012922791106915526,0.03854166666666667,0.03352940395307812,-0.0038721298798622345,-0.005164408990553787,1,Cumple,delta_nodal_local_vs_cuerda
DV-0052,3.2,X,Viga_1,IR 356 x 44.6,"151, 154","34, 36, 37",34,37,36,9.25,0.0012466800714335449,0.03854166666666667,0.03234629374530278,-0.0023606536707518957,-0.0036073337421854406,1,Cumple,delta_nodal_local_vs_cuerda
DV-0004,12.8,Y,Viga_2,IR 356 x 44.6,"426, 427","83, 128, 87",83,87,128,6.2,0.0006376603065291413,0.025833333333333333,0.024683624768869986,-0.0008685664714257678,-0.001506226777954909,1,Cumple,delta_nodal_local_vs_cuerda
DV-0056,6.4,Y,Viga_1,IR 356 x 44.6,"226, 227","41, 112, 45",41,45,112,6.2,0.00036348190479441335,0.025833333333333333,0.014070267282364388,-0.0006688146084022665,-0.0010322965131966799,1,Cumple,delta_nodal_local_vs_cuerda
DV-0014,12.8,X,Viga_2,IR 356 x 44.6,"417, 418","80, 125, 81",80,81,125,6.32,0.00024734702402945223,0.026333333333333334,0.009392924963143756,-0.0021637517712316,-0.0019164047472021478,1,Cumple,delta_nodal_local_vs_cuerda
DV-0006,12.8,Y,Viga_2,IR 356 x 44.6,"442, 443","91, 130, 95",91,95,130,6.199999999999999,0.00022609622233792743,0.02583333333333333,0.008752111832435901,-0.001420801827229695,-0.0011947056048917677,1,Cumple,delta_nodal_local_vs_cuerda
DV-0020,12.8,X,Viga_2,IR 356 x 44.6,"444, 445","92, 131, 93",92,93,131,6.32,0.0002168674735607101,0.026333333333333334,0.008235473679520636,-0.002174313391466435,-0.001957445917905725,1,Cumple,delta_nodal_local_vs_cuerda
DV-0011,12.8,Y,Viga_2,IR 356 x 44.6,"419, 420","80, 127, 84",80,84,127,6.2,0.0001952479826379254,0.025833333333333333,0.007557986424693887,-0.002170745161294135,-0.0019754971786562097,1,Cumple,delta_nodal_local_vs_cuerda
DV-0066,6.4,X,Viga_1,IR 356 x 44.6,"217, 218","38, 109, 39",38,39,109,6.32,0.00018986440169748548,0.026333333333333334,0.0072100405707905876,-0.001501110328768209,-0.0013112459270707235,1,Cumple,delta_nodal_local_vs_cuerda
DV-0058,6.4,Y,Viga_1,IR 356 x 44.6,"242, 243","49, 114, 53",49,53,114,6.199999999999999,0.0001800760694535467,0.02583333333333333,0.006970686559492131,-0.0009968316360498548,-0.0008167555665963081,1,Cumple,delta_nodal_local_vs_cuerda
DV-0072,6.4,X,Viga_1,IR 356 x 44.6,"244, 245","50, 115, 51",50,51,115,6.32,0.00017193521108153746,0.026333333333333334,0.0065291852309444605,-0.001512201422746412,-0.0013402662116648745,1,Cumple,delta_nodal_local_vs_cuerda
DV-0013,12.8,Y,Viga_2,IR 356 x 44.6,"435, 436","88, 129, 92",88,92,129,6.199999999999999,0.00015918001589687635,0.02583333333333333,0.00616180706697586,-0.0021550909414134577,-0.0019959109255165814,1,Cumple,delta_nodal_local_vs_cuerda
DV-0063,6.4,Y,Viga_1,IR 356 x 44.6,"219, 220","38, 111, 42",38,42,111,6.2,0.00015561946041661267,0.025833333333333333,0.006023979112901136,-0.0015068888650132909,-0.0013512694045966782,1,Cumple,delta_nodal_local_vs_cuerda
DV-0065,6.4,Y,Viga_1,IR 356 x 44.6,"235, 236","46, 113, 50",46,50,113,6.199999999999999,0.0001336132223511929,0.02583333333333333,0.0051721247361752095,-0.0014987246630642867,-0.0013651114407130939,1,Cumple,delta_nodal_local_vs_cuerda
DV-0022,12.8,X,Viga_2,IR 356 x 44.6,"447, 448","94, 132, 95",94,95,132,5.449999999999999,0.00010294348864616702,0.02270833333333333,0.004533291243133961,-0.0017624317293385271,-0.0016594882406923601,1,Cumple,delta_nodal_local_vs_cuerda
DV-0074,6.4,X,Viga_1,IR 356 x 44.6,"247, 248","52, 116, 53",52,53,116,5.449999999999999,8.61436571044441e-05,0.02270833333333333,0.0037934821477186398,-0.001217225232199326,-0.0011310815750948818,1,Cumple,delta_nodal_local_vs_cuerda
DV-0039,3.2,Y,Viga_1,IR 356 x 44.6,"135, 136","25, 105, 29",25,29,105,6.199999999999999,9.678472718964556e-05,0.02583333333333333,0.0037465055686314416,-0.0006985582115926526,-0.0007953429387822982,1,Cumple,delta_nodal_local_vs_cuerda
DV-0042,3.2,X,Viga_1,IR 356 x 44.6,"123, 124","19, 102, 20",19,20,102,5.450000000000001,8.460640672628024e-05,0.022708333333333337,0.0037257867182215144,-0.0005527524618612708,-0.000637358868587551,1,Cumple,delta_nodal_local_vs_cuerda
DV-0048,3.2,X,Viga_1,IR 356 x 44.6,"147, 148","31, 108, 32",31,32,108,5.450000000000001,8.444906457466485e-05,0.022708333333333337,0.003718857889526525,-0.0005788449558779274,-0.0006632940204525922,1,Cumple,delta_nodal_local_vs_cuerda
DV-0037,3.2,Y,Viga_1,IR 356 x 44.6,"119, 120","17, 103, 21",17,21,103,6.2,9.603897935589576e-05,0.025833333333333333,0.0037176379105508034,-0.0006920218717639374,-0.0007880608511198332,1,Cumple,delta_nodal_local_vs_cuerda
DV-0094,9.6,X,Viga_1,IR 356 x 44.6,"323, 324","61, 118, 62",61,62,118,5.449999999999999,8.154473579130594e-05,0.02270833333333333,0.00359096084218595,-0.0013487378713916143,-0.0014302826071829202,1,Cumple,delta_nodal_local_vs_cuerda
DV-0091,9.6,Y,Viga_1,IR 356 x 44.6,"335, 336","67, 121, 71",67,71,121,6.199999999999999,9.252673245054239e-05,0.02583333333333333,0.0035816799658274475,-0.0017013422489528683,-0.0017938689814034107,1,Cumple,delta_nodal_local_vs_cuerda
DV-0016,12.8,X,Viga_2,IR 356 x 44.6,"423, 424","82, 126, 83",82,83,126,5.449999999999999,8.108598064394631e-05,0.02270833333333333,0.003570758780650847,-0.0016664493215862227,-0.0015853633409422764,1,Cumple,delta_nodal_local_vs_cuerda
DV-0100,9.6,X,Viga_1,IR 356 x 44.6,"347, 348","73, 124, 74",73,74,124,5.449999999999999,8.052979849955139e-05,0.02270833333333333,0.0035462663559435482,-0.0014127352822036912,-0.0014932650807032426,1,Cumple,delta_nodal_local_vs_cuerda
DV-0089,9.6,Y,Viga_1,IR 356 x 44.6,"319, 320","59, 119, 63",59,63,119,6.2,9.037686580338523e-05,0.025833333333333333,0.003498459321421364,-0.0016857655791763673,-0.0017761424449797526,1,Cumple,delta_nodal_local_vs_cuerda
DV-0046,3.2,X,Viga_1,IR 356 x 44.6,"144, 145","29, 107, 30",29,30,107,6.32,9.094956369417066e-05,0.026333333333333334,0.0034537808997786327,-0.0006872584732890213,-0.000778208036983192,1,Cumple,delta_nodal_local_vs_cuerda
DV-0040,3.2,X,Viga_1,IR 356 x 44.6,"117, 118","17, 101, 18",17,18,101,6.32,9.03766359213042e-05,0.026333333333333334,0.003432024148910286,-0.0006730606138013165,-0.0007634372497226207,1,Cumple,delta_nodal_local_vs_cuerda
DV-0082,9.6,Y,Viga_1,IR 356 x 44.6,"326, 327","62, 120, 66",62,66,120,6.2,8.815806613367695e-05,0.025833333333333333,0.003412570301948785,-0.0012657094115113563,-0.0013538674776450333,1,Cumple,delta_nodal_local_vs_cuerda
DV-0031,3.2,Y,Viga_1,IR 356 x 44.6,"126, 127","20, 104, 24",20,24,104,6.2,8.784015799747724e-05,0.025833333333333333,0.0034002641805475063,-0.0005132877971994176,-0.0006011279551968948,1,Cumple,delta_nodal_local_vs_cuerda
DV-0098,9.6,X,Viga_1,IR 356 x 44.6,"344, 345","71, 123, 72",71,72,123,6.32,8.500211465771305e-05,0.026333333333333334,0.00322792840472328,-0.0016722230260732744,-0.0017572251407309875,1,Cumple,delta_nodal_local_vs_cuerda
DV-0068,6.4,X,Viga_1,IR 356 x 44.6,"223, 224","40, 110, 41",40,41,110,5.449999999999999,7.253387310412161e-05,0.02270833333333333,0.0031941522100897594,-0.0011519393420831307,-0.0010794054689790091,1,Cumple,delta_nodal_local_vs_cuerda
